name,count
Qal eh-ye Now,2997
Chaghcharan,15000
Lashkar Gah,201546
Zaranj,49851
Tarin Kowt,10000
Zareh Sharan,13737
Asadabad,48400
Taloqan,64256
Mahmud-E Eraqi,7407
Mehtar Lam,17345
Baraki Barak,22305
Aybak,24000
Mayda Shahr,35008
Karokh,14388.5
Sheberghan,74441
Pol-e Khomri,41029
Balkh,147426
Meymaneh,199795
Andkhvoy,50469
Qalat,12191
Ghazni,129892.5
Feyzabad,52490
Kondoz,210855.5
Jalalabad,401697
Charikar,53676
Gardiz,82680.5
Bamian,61863
Baghlan,163598.5
Farah,58604
