name,,count
Afghanistan,2997,6845750.5
Aland,10682,10682
Albania,21286,1606363.5
Algeria,148000,10468969
American Samoa,12038,12038
Andorra,38127,38127
Angola,100,6011601
Antarctica,34.5,2416.5
Antigua and Barbuda,29862.5,29862.5
Argentina,5300,25539953.5
Armenia,18779,1411273
Aruba,50887.5,50887.5
Australia,3026,14863850
Austria,26928,3124858.5
Azerbaijan,8657,3082588
Bahrain,360697,360697
Bangladesh,180144,19098968
Barbados,143865,143865
Belarus,156514.5,4516372.5
Belgium,91277,3569803
Belize,13451,131679.5
Benin,86971,1713855
Bermuda,32910,32910
Bhutan,15000,113930.5
Bolivia,20758.5,5874123.5
Bosnia and Herzegovina,151388,1383431.5
Botswana,39700,673275
Brazil,30217,100038543
Brunei,218250,218250
Bulgaria,42211,2866890.5
Burkina Faso,33910,2159363
Burundi,6585,620093.5
Cambodia,33231,2258091
Cameroon,90088,5904854
Canada,9819.5,19827150
Cape Verde,62962,164073.5
Cayman Islands,2770.5,2770.5
Central African Republic,19431,1236792.5
Chad,19382,1611846
Chile,358,8929071.5
China,233097,293130137
Colombia,61029,23900626
Comoros,85785,85785
Congo (Brazzaville),22760,2245896
Congo (Kinshasa),1192,16481944
Cook Islands,2525,2525
Costa Rica,21947,1216465.5
Croatia,37112,1474150
Cuba,122343.5,5381876.5
Curacao,146813,146813
Cyprus,48947,446770
Czech Republic,94105,2254390
Denmark,51177,1862032.5
Djibouti,12043,843050
Dominica,19953.5,19953.5
Dominican Republic,16380,4431441
East Timor,213947,213947
Ecuador,24881,6141603.5
Egypt,182900,24656196
El Salvador,34102,1676892
Equatorial Guinea,8462,316128
Eritrea,9504,1154485.5
Estonia,11805,626174
Ethiopia,133097,5762058
Falkland Islands,90,2303
Faroe Islands,4664,19062
Federated States of Micronesia,4645,4645
Fiji,27329,239245
Finland,47261,2150468.5
France,77490.5,16988693.5
French Polynesia,78856,78856
Gabon,24831,918116
Georgia,181141.5,1678185
Germany,184997,27000921
Ghana,70299,5202198
Gibraltar,106813.5,106813.5
Greece,47246,4338647.5
Greenland,1341,38197.5
Grenada,30538.5,30538.5
Guam,61755.5,61755.5
Guatemala,40000,2591961.5
Guinea,5479,2745825.5
Guinea Bissau,10490,473896
Guyana,11787,349788.5
Haiti,30917,2202262
Honduras,15774,1968091
Hong Kong S.A.R.,5878789.5,5878789.5
Hungary,62023,3668634
Iceland,1783,176661.5
India,65586,174598311.5
Indonesia,405494.5,43823828.5
Iran,96786,30444730.5
Iraq,620500,14521523
Ireland,4860,1551240
Isle of Man,31036,31036
Israel,63860,3667972.5
Italy,69060,16374337
Ivory Coast,27504,6020799.5
Jamaica,6289,1527933.5
