name,,count
Afghanistan,2997,6845750.5
Afghanistan,15000,6845750.5
Afghanistan,201546,6845750.5
Afghanistan,49851,6845750.5
Afghanistan,10000,6845750.5
Afghanistan,13737,6845750.5
Afghanistan,48400,6845750.5
Afghanistan,64256,6845750.5
Afghanistan,7407,6845750.5
Afghanistan,17345,6845750.5
Afghanistan,22305,6845750.5
Afghanistan,24000,6845750.5
Afghanistan,35008,6845750.5
Afghanistan,14388.5,6845750.5
Afghanistan,74441,6845750.5
Afghanistan,41029,6845750.5
Afghanistan,147426,6845750.5
Afghanistan,199795,6845750.5
Afghanistan,50469,6845750.5
Afghanistan,12191,6845750.5
Afghanistan,129892.5,6845750.5
Afghanistan,52490,6845750.5
Afghanistan,210855.5,6845750.5
Afghanistan,401697,6845750.5
Afghanistan,53676,6845750.5
Afghanistan,82680.5,6845750.5
Afghanistan,61863,6845750.5
Afghanistan,163598.5,6845750.5
Afghanistan,58604,6845750.5
Afghanistan,439232.5,6845750.5
Afghanistan,365432.5,6845750.5
Afghanistan,613871,6845750.5
Afghanistan,3160266,6845750.5
Aland,10682,10682
Albania,21286,1606363.5
Albania,69747.5,1606363.5
Albania,41469,1606363.5
Albania,6495,1606363.5
Albania,7967,1606363.5
Albania,17832,1606363.5
Albania,15147,1606363.5
Albania,7890,1606363.5
Albania,35000,1606363.5
Albania,58259,1606363.5
Albania,46866,1606363.5
Albania,14046,1606363.5
Albania,11556,1606363.5
Albania,12691,1606363.5
Albania,11955,1606363.5
Albania,10686,1606363.5
Albania,23437,1606363.5
Albania,14848,1606363.5
Albania,15405,1606363.5
Albania,18695,1606363.5
Albania,10064,1606363.5
Albania,89508.5,1606363.5
Albania,132956.5,1606363.5
Albania,132233,1606363.5
Albania,122006,1606363.5
Albania,658318,1606363.5
Algeria,148000,10468969
Algeria,144000,10468969
Algeria,134500,10468969
Algeria,125000,10468969
Algeria,123590,10468969
Algeria,100821,10468969
Algeria,26568,10468969
Algeria,200186.5,10468969
Algeria,181059,10468969
Algeria,5628,10468969
Algeria,14364,10468969
Algeria,51118,10468969
Algeria,193941.5,10468969
Algeria,666,10468969
Algeria,216,10468969
Algeria,3030,10468969
Algeria,67413,10468969
Algeria,177497,10468969
Algeria,18124,10468969
Algeria,449167,10468969
Algeria,108230,10468969
Algeria,159177,10468969
Algeria,134855,10468969
Algeria,184195,10468969
Algeria,274520,10468969
Algeria,388174,10468969
Algeria,110144,10468969
Algeria,145863.5,10468969
Algeria,134947,10468969
Algeria,171742,10468969
Algeria,56910,10468969
Algeria,22351.5,10468969
Algeria,142415.5,10468969
Algeria,18270,10468969
Algeria,7293,10468969
Algeria,423251,10468969
Algeria,28632,10468969
Algeria,32049,10468969
Algeria,108279,10468969
Algeria,91499,10468969
Algeria,176271,10468969
Algeria,202103,10468969
Algeria,170901,10468969
Algeria,274744,10468969
Algeria,269467,10468969
Algeria,355047,10468969
Algeria,527638,10468969
Algeria,721992,10468969
Algeria,71808,10468969
Algeria,125480,10468969
Algeria,2665831.5,10468969
American Samoa,12038,12038
Andorra,38127,38127
Angola,100,6011601
Angola,25578,6011601
Angola,79842.5,6011601
Angola,40907,6011601
Angola,2324,6011601
Angola,984,6011601
Angola,15665.5,6011601
Angola,12731,6011601
Angola,8144,6011601
Angola,5248.5,6011601
Angola,795,6011601
Angola,11519.5,6011601
Angola,10579,6011601
Angola,42201,6011601
Angola,19705.5,6011601
Angola,65329,6011601
Angola,78905.5,6011601
Angola,531,6011601
Angola,19489,6011601
Angola,4837,6011601
Angola,30000,6011601
Angola,149,6011601
Angola,150,6011601
Angola,8748,6011601
Angola,468.5,6011601
Angola,1502,6011601
Angola,1411,6011601
Angola,186,6011601
Angola,9964,6011601
Angola,1307,6011601
Angola,25,6011601
Angola,298,6011601
Angola,11985,6011601
Angola,17000,6011601
Angola,2353,6011601
Angola,29638.5,6011601
Angola,56787.5,6011601
Angola,113955,6011601
